Sl. No.,ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,Month,Year
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,2.0,3.0,3.0,2.0,JAN,2021
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,2.0,1.0,1.0,2.0,JAN,2021
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,1.0,3.0,3.0,1.0,JAN,2021
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,1.0,1.0,2.0,1.0,JAN,2021
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,1.0,0.0,1.0,1.0,JAN,2021
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,1.0,1.0,1.0,1.0,JAN,2021
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0.0,0.0,0.0,0.0,JAN,2021
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0.0,0.0,0.0,0.0,JAN,2021
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,JAN,2021
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0.0,0.0,0.0,0.0,JAN,2021
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0.0,0.0,0.0,0.0,JAN,2021
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,3.0,0.0,1.0,3.0,JAN,2021
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,0.0,1.0,1.0,0.0,JAN,2021
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,4.0,3.0,3.0,4.0,JAN,2021
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0.0,0.0,0.0,0.0,JAN,2021
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0.0,0.0,0.0,0.0,JAN,2021
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,2.0,2.0,2.0,2.0,JAN,2021
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0.0,0.0,0.0,0.0,JAN,2021
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0.0,0.0,0.0,0.0,JAN,2021
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,1.0,0.0,2.0,1.0,JAN,2021
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,4.0,5.0,6.0,4.0,JAN,2021
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,6.0,7.0,5.0,6.0,JAN,2021
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0.0,0.0,0.0,0.0,JAN,2021
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0.0,0.0,0.0,0.0,JAN,2021
25,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,4.0,4.0,3.0,4.0,JAN,2021
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,6.0,4.0,7.0,6.0,JAN,2021
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,6.0,26.0,5.0,6.0,JAN,2021
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,4.0,2.0,1.0,4.0,JAN,2021
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,8.0,2.0,7.0,8.0,JAN,2021
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0.0,0.0,1.0,0.0,JAN,2021
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,0.0,0.0,0.0,0.0,JAN,2021
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,0.0,0.0,0.0,0.0,JAN,2021
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),1.0,0.0,0.0,1.0,JAN,2021
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0.0,0.0,1.0,0.0,JAN,2021
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,JAN,2021
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,12.0,2.0,7.0,12.0,JAN,2021
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,0.0,0.0,2.0,0.0,JAN,2021
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0.0,0.0,1.0,0.0,JAN,2021
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,0.0,1.0,0.0,0.0,JAN,2021
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,1.0,2.0,2.0,1.0,JAN,2021
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,1.0,1.0,1.0,1.0,JAN,2021
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0.0,0.0,0.0,0.0,JAN,2021
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,14.0,15.0,12.0,14.0,JAN,2021
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,9.0,19.0,15.0,9.0,JAN,2021
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,3.0,0.0,1.0,3.0,JAN,2021
46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,23.0,16.0,19.0,23.0,JAN,2021
47,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Gain,0.0,0.0,0.0,0.0,JAN,2021
48,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Over Civil Dispute,0.0,0.0,0.0,0.0,JAN,2021
49,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Personal Vendetta or enemity,0.0,0.0,0.0,0.0,JAN,2021
50,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Sexual jealousy,0.0,0.0,0.0,0.0,JAN,2021
51,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Dowry,0.0,0.0,0.0,0.0,JAN,2021
52,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Communalism,0.0,0.0,0.0,0.0,JAN,2021
53,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Casteism,0.0,0.0,0.0,0.0,JAN,2021
54,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,JAN,2021
55,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Human Sacrifice,0.0,0.0,0.0,0.0,JAN,2021
56,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,JAN,2021
57,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Political Reasons,0.0,0.0,0.0,0.0,JAN,2021
58,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Adultery,0.0,0.0,0.0,0.0,JAN,2021
59,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Property Disputes,0.0,1.0,0.0,0.0,JAN,2021
60,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Electoral Gain,0.0,0.0,0.0,0.0,JAN,2021
61,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Gang Rivalry,0.0,0.0,0.0,0.0,JAN,2021
62,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Love Intrigue,0.0,0.0,0.0,0.0,JAN,2021
63,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Professional ,0.0,0.0,0.0,0.0,JAN,2021
64,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Sudden Quarrel,0.0,0.0,0.0,0.0,JAN,2021
65,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Gain,0.0,0.0,0.0,0.0,JAN,2021
66,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Over Civil Dispute,0.0,0.0,0.0,0.0,JAN,2021
67,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Personal Vendetta or enemity,0.0,1.0,0.0,0.0,JAN,2021
68,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Sexual jealousy,0.0,0.0,0.0,0.0,JAN,2021
69,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Dowry,0.0,0.0,0.0,0.0,JAN,2021
70,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0.0,0.0,0.0,0.0,JAN,2021
71,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0.0,0.0,0.0,0.0,JAN,2021
72,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0.0,0.0,0.0,0.0,JAN,2021
73,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0.0,0.0,0.0,0.0,JAN,2021
74,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0.0,0.0,0.0,0.0,JAN,2021
75,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,0.0,0.0,0.0,0.0,JAN,2021
76,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,0.0,0.0,0.0,0.0,JAN,2021
77,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,1.0,0.0,0.0,1.0,JAN,2021
78,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,0.0,0.0,0.0,0.0,JAN,2021
79,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0.0,0.0,0.0,0.0,JAN,2021
80,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0.0,0.0,0.0,0.0,JAN,2021
81,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,0.0,0.0,0.0,0.0,JAN,2021
82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,0.0,0.0,0.0,0.0,JAN,2021
83,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Custodial Rape,0.0,0.0,0.0,0.0,JAN,2021
84,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Attempt to Commit,0.0,2.0,2.0,0.0,JAN,2021
85,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By a Gang,0.0,1.0,0.0,0.0,JAN,2021
86,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Parents,0.0,0.0,0.0,0.0,JAN,2021
87,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Hospital Staff,0.0,0.0,0.0,0.0,JAN,2021
88,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Husband During Sepearation,0.0,0.0,0.0,0.0,JAN,2021
89,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Neighbours,3.0,5.0,2.0,3.0,JAN,2021
90,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Relatives,7.0,1.0,3.0,7.0,JAN,2021
91,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Jail Custody,0.0,0.0,0.0,0.0,JAN,2021
92,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Remand Home,0.0,0.0,0.0,0.0,JAN,2021
93,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",InCest,0.0,0.0,0.0,0.0,JAN,2021
94,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Known Person,23.0,16.0,17.0,23.0,JAN,2021
95,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Unknown Person,1.0,0.0,2.0,1.0,JAN,2021
96,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",On Minor,0.0,0.0,0.0,0.0,JAN,2021
97,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,43.0,71.0,35.0,43.0,JAN,2021
98,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Girl,162.0,104.0,115.0,162.0,JAN,2021
99,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Children,2.0,3.0,1.0,2.0,JAN,2021
100,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Cildren for Begging,0.0,0.0,0.0,0.0,JAN,2021
101,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Women,0.0,1.0,0.0,0.0,JAN,2021
102,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Girls for Immoral Purpose,0.0,0.0,0.0,0.0,JAN,2021
103,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of  Others,5.0,7.0,7.0,5.0,JAN,2021
104,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For Prostitution,0.0,0.0,0.0,0.0,JAN,2021
105,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - Importring of Girl,0.0,0.0,0.0,0.0,JAN,2021
106,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For other Purpose,3.0,4.0,1.0,3.0,JAN,2021
107,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Espionage,0.0,0.0,0.0,0.0,JAN,2021
108,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Intent to Steal From Child,0.0,0.0,0.0,0.0,JAN,2021
109,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Murder (Homicide),0.0,0.0,0.0,0.0,JAN,2021
110,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Obtain Signature Forcibly,0.0,0.0,0.0,0.0,JAN,2021
111,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Recovering Loan,0.0,0.0,0.0,0.0,JAN,2021
112,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Settling any Disputes,2.0,0.0,0.0,2.0,JAN,2021
113,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Unnatural Lust / Illicit Intercourse,0.0,0.0,0.0,0.0,JAN,2021
114,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Wrongful Confinement,1.0,0.0,0.0,1.0,JAN,2021
115,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Exporting,0.0,0.0,0.0,0.0,JAN,2021
116,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",From Lawful Guardianship,0.0,0.0,0.0,0.0,JAN,2021
117,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Camel Racing Etc.,0.0,0.0,0.0,0.0,JAN,2021
118,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",To Compel For Marriage,3.0,4.0,1.0,3.0,JAN,2021
119,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Slavery,0.0,0.0,0.0,0.0,JAN,2021
120,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Stealing From its Person,0.0,0.0,0.0,0.0,JAN,2021
121,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At ATM,0.0,0.0,0.0,0.0,JAN,2021
122,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,3.0,2.0,3.0,3.0,JAN,2021
123,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Highways,2.0,8.0,1.0,2.0,JAN,2021
124,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Trains,0.0,0.0,0.0,0.0,JAN,2021
125,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Banks,0.0,0.0,0.0,0.0,JAN,2021
126,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,1.0,3.0,2.0,1.0,JAN,2021
127,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,3.0,0.0,1.0,3.0,JAN,2021
128,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,3.0,8.0,5.0,3.0,JAN,2021
129,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,0.0,0.0,0.0,0.0,JAN,2021
130,A - IPC Crime,Preparation And Assembly for Dacoity,Preparation And Assembly for Dacoity,49.0,35.0,29.0,49.0,JAN,2021
131,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0.0,0.0,0.0,0.0,JAN,2021
132,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,11.0,6.0,9.0,11.0,JAN,2021
133,A - IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,7.0,10.0,3.0,7.0,JAN,2021
134,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,0.0,4.0,2.0,0.0,JAN,2021
135,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,0.0,1.0,0.0,0.0,JAN,2021
136,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,10.0,5.0,9.0,10.0,JAN,2021
137,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,64.0,59.0,49.0,64.0,JAN,2021
138,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,48.0,55.0,60.0,48.0,JAN,2021
139,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,4.0,7.0,6.0,4.0,JAN,2021
140,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,196.0,217.0,192.0,196.0,JAN,2021
141,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0.0,0.0,0.0,0.0,JAN,2021
142,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0.0,0.0,0.0,0.0,JAN,2021
143,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,4.0,10.0,5.0,4.0,JAN,2021
144,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,62.0,48.0,58.0,62.0,JAN,2021
145,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,44.0,51.0,39.0,44.0,JAN,2021
146,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,34.0,36.0,26.0,34.0,JAN,2021
147,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,63.0,77.0,54.0,63.0,JAN,2021
148,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0.0,0.0,0.0,0.0,JAN,2021
149,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0.0,0.0,0.0,0.0,JAN,2021
150,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,0.0,0.0,1.0,0.0,JAN,2021
151,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,4.0,1.0,1.0,4.0,JAN,2021
152,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,4.0,5.0,8.0,4.0,JAN,2021
153,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,0.0,0.0,2.0,0.0,JAN,2021
154,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Sand,99.0,111.0,71.0,99.0,JAN,2021
155,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to Commit,5.0,2.0,3.0,5.0,JAN,2021
156,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of ATM,1.0,0.0,0.0,1.0,JAN,2021
157,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,8.0,3.0,10.0,8.0,JAN,2021
158,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,23.0,24.0,29.0,23.0,JAN,2021
159,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,5.0,7.0,5.0,5.0,JAN,2021
160,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,11.0,13.0,17.0,11.0,JAN,2021
161,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,2.0,0.0,0.0,2.0,JAN,2021
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,35.0,28.0,28.0,35.0,JAN,2021
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,660.0,664.0,683.0,660.0,JAN,2021
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,16.0,9.0,10.0,16.0,JAN,2021
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,21.0,15.0,22.0,21.0,JAN,2021
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,0.0,0.0,0.0,0.0,JAN,2021
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",106.0,208.0,68.0,106.0,JAN,2021
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,0.0,2.0,0.0,0.0,JAN,2021
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0.0,0.0,0.0,0.0,JAN,2021
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,0.0,0.0,0.0,0.0,JAN,2021
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,0.0,0.0,0.0,0.0,JAN,2021
172,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,22.0,16.0,10.0,22.0,JAN,2021
173,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,32.0,48.0,39.0,32.0,JAN,2021
174,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,63.0,74.0,69.0,63.0,JAN,2021
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,117.0,88.0,104.0,117.0,JAN,2021
176,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,2.0,3.0,1.0,2.0,JAN,2021
177,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,15.0,11.0,16.0,15.0,JAN,2021
178,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,94.0,100.0,93.0,94.0,JAN,2021
179,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,29.0,20.0,15.0,29.0,JAN,2021
180,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,82.0,91.0,50.0,82.0,JAN,2021
181,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,0.0,0.0,0.0,0.0,JAN,2021
182,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,1.0,0.0,0.0,1.0,JAN,2021
183,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,0.0,0.0,0.0,0.0,JAN,2021
184,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,0.0,0.0,0.0,0.0,JAN,2021
185,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,17.0,4.0,24.0,17.0,JAN,2021
186,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,0.0,0.0,0.0,0.0,JAN,2021
187,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0.0,0.0,0.0,0.0,JAN,2021
188,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,0.0,1.0,0.0,0.0,JAN,2021
189,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,0.0,0.0,0.0,0.0,JAN,2021
190,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,1.0,1.0,3.0,1.0,JAN,2021
191,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,0.0,0.0,0.0,0.0,JAN,2021
192,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,1.0,1.0,1.0,1.0,JAN,2021
